업종명,업소명,소재지(도로명),소재지(지번),소재지전화,관리기관전화번호,관리기관명
일반음식점,정마담식당,경상북도 구미시 선산읍 선산중앙로18길 16,경상북도 구미시 선산읍 동부리 380 ,054-481-2353,054-480-5598,경상북도 구미시청
일반음식점,선산대한곱창본점,"경상북도 구미시 선산읍 남문로 44, 1층",경상북도 구미시 선산읍 동부리 396-11 1층 ,054-481-2970,054-480-5598,경상북도 구미시청
일반음식점,시장식육식당,경상북도 구미시 장천면 강동로 189-3,경상북도 구미시 장천면 상장리 896-1 ,054-471-6078,054-480-5598,경상북도 구미시청
일반음식점,미화식당,경상북도 구미시 선산읍 선산중앙로 96,경상북도 구미시 선산읍 동부리 412 ,054-481-2661,054-480-5598,경상북도 구미시청
일반음식점,중앙식당,경상북도 구미시 고아읍 선산대로 676,경상북도 구미시 고아읍 항곡리 598 ,054-454-8197,054-480-5598,경상북도 구미시청
일반음식점,동락식당,경상북도 구미시 수출대로 326-19 (임수동),경상북도 구미시 임수동 378 ,054-462-7483,054-480-5598,경상북도 구미시청
일반음식점,산동식당,경상북도 구미시 산동읍 강동로 1001,경상북도 구미시 산동읍 적림리 105 ,054-471-3067,054-480-5598,경상북도 구미시청
일반음식점,새마을식당,경상북도 구미시 옥성면 주아2길 18-5,경상북도 구미시 옥성면 주아리 216 ,054-481-0035,054-480-5598,경상북도 구미시청
일반음식점,친구포차,"경상북도 구미시 인동18길 19, 가동 1층 (진평동)",경상북도 구미시 진평동 26-10 1층 가동 ,054-471-9464,054-480-5598,경상북도 구미시청
일반음식점,왜관식당,경상북도 구미시 수출대로 326-30 (임수동),경상북도 구미시 임수동 385-1 ,054-462-7476,054-480-5598,경상북도 구미시청
일반음식점,그집마늘치킨장천점,경상북도 구미시 장천면 강동로 180,경상북도 구미시 장천면 상장리 888-4 ,054-471-5245,054-480-5598,경상북도 구미시청
일반음식점,삼겹파티공단점,경상북도 구미시 산호대로 199 (공단동),경상북도 구미시 공단동 263 ,054-461-8895,054-480-5598,경상북도 구미시청
일반음식점,도산식당,경상북도 구미시 지산1길 26 (지산동),경상북도 구미시 지산동 381-21 ,054-452-4179,054-480-5598,경상북도 구미시청
일반음식점,한양매운탕,경상북도 구미시 낙동강변로 694-4 (비산동),경상북도 구미시 비산동 51-1 ,054-463-4873,054-480-5598,경상북도 구미시청
일반음식점,완전식당,경상북도 구미시 선산읍 남문로 19-27,경상북도 구미시 선산읍 완전리 256-7 ,054-481-2049,054-480-5598,경상북도 구미시청
일반음식점,태평반점,경상북도 구미시 1공단로7길 86-9 (공단동),경상북도 구미시 공단동 201 ,054-463-3533,054-480-5598,경상북도 구미시청
일반음식점,진주,"경상북도 구미시 1공단로7길 86-1 (공단동,205호)",경상북도 구미시 공단동 203 205호 ,054-463-2143,054-480-5598,경상북도 구미시청
일반음식점,윤실네진부령황태,"경상북도 구미시 선산읍 선주로 155-9, 1층",경상북도 구미시 선산읍 동부리 787 1층 ,054-482-5543,054-480-5598,경상북도 구미시청
일반음식점,광명식당,경상북도 구미시 선산읍 남문로2길 8-1,경상북도 구미시 선산읍 동부리 306-4 ,054-481-3687,054-480-5598,경상북도 구미시청
일반음식점,무이식당,,경상북도 구미시 무을면 무이리 157 ,,054-480-5598,경상북도 구미시청
일반음식점,상송식당,경상북도 구미시 무을면 상무로 608-8,경상북도 구미시 무을면 상송리 752-2 ,054-481-9167,054-480-5598,경상북도 구미시청
일반음식점,산동고향순대식당,경상북도 구미시 산동읍 강동로 1005-6,경상북도 구미시 산동읍 적림리 524-37 ,054-471-3501,054-480-5598,경상북도 구미시청
