year_month,dong_code,dong,category,amount,count,customer,store_count
202301,47190250,선산읍,기타음식점,14838759000,461376,414550,38
202301,47190250,선산읍,양식,49033000,3431,3210,7
202301,47190250,선산읍,일식,157401000,1875,1788,4
202301,47190250,선산읍,제과점/아이스크림,183413000,13281,12242,5
202301,47190250,선산읍,중식,122979000,5200,4783,4
202301,47190250,선산읍,커피전문점,177402000,18427,15783,7
202301,47190250,선산읍,패스트푸드,76537000,4858,4439,3
202301,47190250,선산읍,한식,2382090000,73533,66655,24
202301,47190253,b' ',기타음식점,26166000,455,448,2
202301,47190253,고아읍,기타음식점,18734856000,648646,569817,90
202301,47190253,고아읍,양식,120031000,7342,6366,18
202301,47190253,고아읍,일식,253173000,4437,4150,4
202301,47190253,고아읍,제과점/아이스크림,216258000,18072,17012,8
202301,47190253,고아읍,중식,278238000,11524,10600,12
202301,47190253,고아읍,커피전문점,419706000,40730,35670,17
202301,47190253,고아읍,패스트푸드,49114000,4444,4009,2
202301,47190253,고아읍,한식,3376799000,94860,88233,45
202301,47190256,산동읍,기타음식점,10425199000,396872,321377,58
202301,47190256,산동읍,양식,223530000,10671,8805,16
202301,47190256,산동읍,일식,52666000,1809,1531,1
202301,47190256,산동읍,제과점/아이스크림,155361000,11478,10028,3
202301,47190256,산동읍,중식,128528000,6176,5263,7
202301,47190256,산동읍,커피전문점,261574000,31993,27306,11
202301,47190256,산동읍,패스트푸드,74056000,6853,5908,3
202301,47190256,산동읍,한식,2866612000,78323,65330,40
202301,47190310,무을면,기타음식점,286109000,4011,3391,12
202301,47190310,무을면,중식,22922000,934,822,2
202301,47190310,무을면,한식,72336000,1487,1328,5
202301,47190320,옥성면,기타음식점,3627692000,66700,48674,10
202301,47190320,옥성면,양식,108000,14,14,1
202301,47190320,옥성면,커피전문점,471000,41,35,1
202301,47190320,옥성면,한식,1619949000,207832,123158,8
202301,47190330,도개면,기타음식점,4650457000,98894,76203,20
202301,47190330,도개면,양식,766000,189,189,2
202301,47190330,도개면,중식,52954000,2062,1849,2
202301,47190330,도개면,커피전문점,18274000,2541,1995,2
202301,47190330,도개면,한식,1130371000,111837,59320,11
202301,47190340,해평면,기타음식점,2088874000,36315,31984,16
202301,47190340,해평면,양식,307000,28,28,1
202301,47190340,해평면,중식,27462000,959,797,3
202301,47190340,해평면,커피전문점,10243000,574,502,1
202301,47190340,해평면,한식,524927000,13972,11223,18
202301,47190360,장천면,기타음식점,3330532000,66976,51393,25
202301,47190360,장천면,양식,2231000,109,77,2
202301,47190360,장천면,제과점/아이스크림,580000,83,83,1
202301,47190360,장천면,중식,74045000,3359,2477,1
202301,47190360,장천면,커피전문점,3431000,374,327,1
202301,47190360,장천면,패스트푸드,3595000,181,174,1
202301,47190360,장천면,한식,431737000,10011,7204,10
202301,47190510,송정동,기타음식점,10432302000,421130,336722,19
