dong_key,dong,total_amount,total_count,total_customer,avg_total_demand_pop,store_count,category_count,avg_location_score,external_ratio,sales_shortage,amount_growth_24_vs_23,consumption_activation,map_name
고아읍,고아읍,3528944000,201912,172882,5413.414761538328,18,1,0.1651,0.6361781771136926,196052444.44444445,0.1452260212933322,651888.7163556596,양식
공단동,공단동,616327000,49580,41259,4183.386809108378,5,1,0.1467,0.7354922556292052,123265400.0,-0.1547703518746388,147327.2800540671,양식
광평동,광평동,121990000,21595,15729,1370.2508900509572,4,1,0.093,0.705742232575787,30497500.0,0.0029883094706423,89027.49188906814,양식
도개면,도개면,63774000,9214,8185,502.7999143797608,2,1,0.0813,0.7166336251562955,31887000.0,0.0412905703860188,126837.73042934928,양식
도량동,도량동,3650073000,209950,189574,7734.0902584339965,15,1,0.2006,0.6266428222691146,243338200.0,0.0109409527923147,471946.00502878916,양식
무을면,무을면,3700000,244,193,417.40849067649975,2,1,0.0777,0.7182252441811422,1850000.0,0.0,8864.218344009625,양식
비산동,비산동,637319000,64485,55268,3395.274620361681,5,1,0.1122,0.6359175350180666,127463800.0,-0.1124080370576597,187707.64408214783,양식
산동읍,산동읍,5276507000,306762,248872,4423.059754055667,16,1,0.1499,0.6579149557551532,329781687.5,-0.0596625843575879,1192954.0393755194,양식
상모사곡동,상모사곡동,2776776000,213260,185753,8423.954517899167,13,1,0.2223,0.6738086083016475,213598153.84615383,0.0372112678536317,329628.5603275663,양식
선산읍,선산읍,1241330000,108103,94618,2815.1967459023867,7,1,0.1058,0.6163407353102758,177332857.14285713,0.0439471777646051,440938.98652262846,양식
선주원남동,선주원남동,15967067000,577848,485796,12231.54156545425,28,1,0.3425,0.6856720000706802,570252392.8571428,0.5216256086296183,1305401.0334311463,양식
송정동,송정동,3689525000,203153,174573,6094.048439620793,9,1,0.182,0.6553821964958195,409947222.2222222,0.028242375932823,605430.8620214354,양식
신평1동,신평1동,635979000,63980,51470,2032.3730040119735,4,1,0.1014,0.679290949588363,158994750.0,-0.0291515465163483,312924.3493908627,양식
신평2동,신평2동,81911000,3154,2730,381.1966445618944,2,1,0.1795,0.6784139299416231,40955500.0,2.780332652465713,214878.596568287,양식
양포동,양포동,5267766000,260611,220381,14004.621890122433,19,1,0.3328,0.6659304483180543,277250842.1052632,0.1997979670591929,376144.82142608904,양식
옥성면,옥성면,3785000,289,283,399.7989927283887,1,1,0.0113,0.5993759535346119,3785000.0,-1.0,9467.257468983704,양식
원평동,원평동,5969341000,331402,281416,4190.184288387984,16,1,0.1336,0.6908893357777272,373083812.5,-0.6043720009389382,1424601.0650515992,양식
인동동,인동동,6816740000,338720,283674,14310.106812645296,24,1,0.3363,0.6918366665419633,284030833.3333333,-0.0631906379525692,476358.4289934375,양식
임오동,임오동,1928469000,82652,74952,4335.986825694002,7,1,0.1709,0.7618537742826897,275495571.4285714,0.0957951923630756,444758.96203659166,양식
장천면,장천면,60564000,2791,2250,736.947694064084,2,1,0.0844,0.6608343911529059,30282000.0,0.329026303645593,82182.22336242691,양식
지산동,지산동,118700000,8735,7036,940.3091163448956,1,1,0.0933,0.715393843045748,118700000.0,0.1010708912293123,126235.08369396906,양식
진미동,진미동,7031394000,182536,146032,10047.808714359164,9,1,0.2959,0.7839476385906745,781266000.0,0.0385874780743081,699793.775925645,양식
해평면,해평면,28586000,1903,1545,901.9419405893244,1,1,0.096,0.6723489393955124,28586000.0,0.4842269922655774,31693.836059250163,양식
형곡1동,형곡1동,1560705000,119014,103264,4143.638162123025,8,1,0.1356,0.65074880929682,195088125.0,-0.0224690485150509,376650.8896134794,양식
형곡2동,형곡2동,1413345000,72662,63113,4365.696126727957,8,1,0.1937,0.641413949604298,176668125.0,1.4105157236346788,323738.7484087875,양식
