dong_key,dong,total_amount,total_count,total_customer,avg_total_demand_pop,store_count,category_count,avg_location_score,external_ratio,sales_shortage,amount_growth_24_vs_23,consumption_activation,map_name
b'',b' ',107532000,9585,7158,10047.808714359164,1,1,0.2761,1.0,107532000.0,-1.0,10702.034946816586,음식점_합본
고아읍,고아읍,111919884000,3443196,3157996,5413.414761538328,81,5,0.20316,0.6014234934186962,1071862675.5555556,0.01347089046735508,20674544.428994715,음식점_합본
공단동,공단동,19630511000,868282,652506,4183.386809108378,38,4,0.154025,0.7455900879406605,339880927.38095236,-0.3295379485755278,4692492.4458955135,음식점_합본
광평동,광평동,2277746000,92430,78152,1370.2508900509572,17,4,0.0953,0.7127626667004068,81466475.0,-0.02498195508235415,1662283.9047492205,음식점_합본
도개면,도개면,39991162000,3949980,2163454,502.7999143797608,15,3,0.15496666666666667,0.7838465884696824,1397696030.3030303,0.1913236778309152,79536930.80742052,음식점_합본
도량동,도량동,56657071000,1975156,1779780,7734.090258433996,56,5,0.23929999999999998,0.6197508783690289,745706484.2307694,0.4196187765250984,7325628.368277146,음식점_합본
무을면,무을면,2925047000,85125,75326,417.40849067649975,9,3,0.0741,0.6741440926419872,260786733.33333334,-0.030625022020162967,7007636.560673061,음식점_합본
비산동,비산동,22132435000,870921,760350,3395.2746203616816,29,5,0.15422,0.6471807717570874,446426160.0,0.5429740382911267,6518599.369626938,음식점_합본
산동읍,산동읍,110029530000,3511589,2878697,4423.059754055667,67,5,0.21588000000000002,0.6772343370482221,1234344663.6904762,0.2805509290070607,24876338.127494175,음식점_합본
상모사곡동,상모사곡동,118407802000,3375744,3008625,8423.954517899167,53,5,0.2958,0.6911350707581645,1571941714.102564,0.1456122884645433,14056082.775424277,음식점_합본
선산읍,선산읍,79501810000,2655267,2423272,2815.1967459023867,42,5,0.14828000000000002,0.6045615916650566,1068257604.7619047,0.06145551451447732,28240232.273540936,음식점_합본
선주원남동,선주원남동,240622709000,6965234,6119108,12231.54156545425,87,5,0.40872,0.6670332493182424,1591061641.7293231,0.37091970128618257,19672312.579110615,음식점_합본
송정동,송정동,101967595000,2783002,2444749,6094.048439620793,41,5,0.24436,0.6586502099900807,1968135715.8730159,-0.0026796365141077013,16732324.334190067,음식점_합본
신평1동,신평1동,44022905000,1561318,1355291,2032.3730040119735,18,5,0.14667999999999998,0.6722982866359807,1708529088.0952382,-0.07101042707976843,21660839.281518348,음식점_합본
신평2동,신평2동,3453676000,103624,91437,381.1966445618944,7,3,0.1175,0.6513036354028782,416519055.5555555,1.111452937233786,9060090.242843758,음식점_합본
양포동,양포동,133932382000,4701841,3926523,14004.621890122431,87,5,0.37668,0.6719824673472502,922685672.1817364,0.0057163812539944,9563441.487446623,음식점_합본
옥성면,옥성면,44464167000,5596020,3305794,399.7989927283887,9,2,0.1717,0.7838661827370874,2780666375.0,-0.4981888690230853,111216305.71542636,음식점_합본
원평동,원평동,123696937000,4848640,4135974,4190.184288387984,50,5,0.2121,0.7015760982037786,1807053093.9285712,-0.2850208531281554,29520643.600997258,음식점_합본
인동동,인동동,145864218000,5093365,4355157,14310.106812645297,90,5,0.3961,0.7050129583263022,1001143771.8253968,0.026947581859678982,10193090.793082364,음식점_합본
임오동,임오동,34004763000,1249792,1106969,4335.986825694002,34,5,0.16688,0.721839314775995,581720794.6778711,-0.15829798172485626,7842450.7192909485,음식점_합본
장천면,장천면,13624606000,378525,284515,736.947694064084,14,4,0.10425,0.7083159393960471,799755625.0,-0.014345971115310024,18487887.416898847,음식점_합본
지산동,지산동,7450690000,166765,150504,940.3091163448956,13,4,0.083475,0.6679990721331547,275272300.0,-0.04151412918922435,7923660.284143373,음식점_합본
진미동,진미동,116567014000,3339596,2789580,10047.808714359164,59,5,0.3206,0.7199138577490157,1176900251.7261906,0.1140413556889877,11601237.375609662,음식점_합본
해평면,해평면,14912345000,428511,365701,901.9419405893244,22,3,0.09883333333333333,0.6543675812749709,376673648.1481481,0.25121172623419197,16533597.48439722,음식점_합본
형곡1동,형곡1동,34635216000,1498476,1347616,4143.638162123025,29,5,0.15342,0.6225210625258942,888357691.6666666,-0.03355781752191664,8358648.763446657,음식점_합본
형곡2동,형곡2동,52663784000,1514014,1385171,4365.696126727957,29,5,0.17938,0.6162504096543648,1099737442.9487178,0.28504623135605467,12063089.704658614,음식점_합본
