dong_key,dong,total_amount,total_count,total_customer,avg_total_demand_pop,store_count,category_count,avg_location_score,external_ratio,sales_shortage,amount_growth_24_vs_23,consumption_activation,map_name
고아읍,고아읍,5584094000,93590,88209,13132.780349583334,10.0,1,0.1483,0.6109846480892852,558409400.0,-0.1325998961978447,425202.7256495741,일식
공단동,공단동,158464000,2817,2592,10144.496113083334,1.0,1,0.0981,0.6824157959856244,158464000.0,-1.0,15620.687142422907,일식
도량동,도량동,1114603000,21422,20031,18770.048421666663,5.0,1,0.2512,0.6003994969009546,222920600.0,1.668291382533372,59381.999180854014,일식
비산동,비산동,194900000,3145,2790,8236.058903916666,0.0,1,0.2094,0.6377995023068942,389800000.0,2.401436281926786,23664.230947560987,일식
산동읍,산동읍,2000034000,49274,42177,10726.778608916668,8.0,1,0.1908,0.6751670309442207,250004250.0,1.188880562508969,186452.43580747212,일식
상모사곡동,상모사곡동,11953804000,212602,193642,20446.85489458333,15.0,1,0.2509,0.7339521615630503,796920266.6666666,0.1241505879359275,584628.0057069674,일식
선산읍,선산읍,2881047000,42609,40339,6828.726367583334,3.0,1,0.1012,0.6044022395093985,960349000.0,-0.0112125468972729,421901.0756788596,일식
선주원남동,선주원남동,5236904000,128720,112815,29689.6325125,11.0,1,0.3294,0.6626117601640916,476082181.8181818,1.0734682115866652,176388.3065172715,일식
송정동,송정동,7541490000,100843,90231,14786.5652275,18.0,1,0.1862,0.6701987974422029,418971666.6666667,0.1045403883086577,510023.11111267173,일식
신평1동,신평1동,2643941000,37785,34375,4926.195326125,5.0,1,0.0967,0.6693631406441919,528788200.0,-0.1092287998626943,536710.5494129388,일식
신평2동,신평2동,508080000,6629,5654,921.5729121958332,0.0,1,0.0763,0.6346334550260974,1016160000.0,0.3869434082815774,551318.2877623833,일식
양포동,양포동,4710973000,91343,80386,33998.02712208333,7.0,1,0.3162,0.674218448346227,672996142.8571428,-0.1128034063472822,138566.06982173974,일식
원평동,원평동,5046874000,143034,124048,10161.635207208334,15.0,1,0.1369,0.715811222215247,336458266.6666667,-0.4225324378186583,496659.6317509914,일식
인동동,인동동,2594455000,43888,37941,34740.13433791667,13.0,1,0.3421,0.7244256592493087,199573461.53846157,0.2287064430448034,74681.77799094794,일식
임오동,임오동,70468000,2279,1981,10517.991482666666,4.0,1,0.1127,0.6822701434871666,17617000.0,-0.6900884824150495,6699.75823008881,일식
지산동,지산동,100868000,2207,1847,2275.3861717916666,0.0,1,0.0883,0.6900036383175482,201736000.0,0.177868940947857,44330.05757461175,일식
진미동,진미동,3488830000,59624,48647,24385.83575833333,10.0,1,0.2705,0.7101837063097656,348883000.0,0.3903316001614186,143067.887218414,일식
형곡1동,형곡1동,2901260000,64291,59537,10051.355530291668,8.0,1,0.1189,0.6090181873462499,362657500.0,-0.1696502080330077,288643.65520217665,일식
형곡2동,형곡2동,2036118000,27809,26120,10592.462073375,0.0,1,0.1424,0.6375595513217368,4072236000.0,0.0483074778003901,192223.29859626738,일식
