dong_key,dong,total_amount,total_count,total_customer,avg_total_demand_pop,store_count,category_count,avg_location_score,external_ratio,sales_shortage,amount_growth_24_vs_23,consumption_activation,map_name
고아읍,고아읍,6096015000,511865,481259,13132.780349583334,5.0,1,0.1431,0.5503301850928474,1219203000.0,0.0264801396459452,464183.12327849213,제과점/아이스크림
공단동,공단동,727347000,56772,47293,10144.496113083334,0.0,1,0.1429,0.705232910043727,1454694000.0,-0.0750835629163259,71698.68191500829,제과점/아이스크림
광평동,광평동,3190000,206,200,3317.9727282916665,1.0,1,0.0809,0.6560539523212046,3190000.0,0.0,961.4304460068435,제과점/아이스크림
도량동,도량동,4095624000,334763,312222,18770.048421666663,1.0,1,0.2138,0.5751856266137624,4095624000.0,0.5868150011147821,218199.96986647806,제과점/아이스크림
비산동,비산동,1493306000,130639,119238,8236.058903916666,0.0,1,0.1046,0.5851477038003545,2986612000.0,-0.106467503978393,181313.1762923474,제과점/아이스크림
산동읍,산동읍,6176285000,485472,430576,10726.778608916668,2.0,1,0.1629,0.599745145802099,3088142500.0,0.617738769694121,575781.9029532262,제과점/아이스크림
상모사곡동,상모사곡동,5191458000,358587,331846,20446.85489458333,5.0,1,0.2081,0.6177342122547739,1038291600.0,-0.0300359806413372,253900.07542799614,제과점/아이스크림
선산읍,선산읍,5069473000,392795,362738,6828.726367583334,1.0,1,0.1095,0.5869731469957092,5069473000.0,0.0361749830501939,742374.5991734725,제과점/아이스크림
선주원남동,선주원남동,9946504000,768775,688753,29689.6325125,6.0,1,0.2875,0.6140634444130745,1657750666.6666667,0.0444981613604083,335016.06986251177,제과점/아이스크림
송정동,송정동,4585013000,375316,332333,14786.5652275,2.0,1,0.1627,0.6127928434385367,2292506500.0,-0.1169766904141859,310079.6519987488,제과점/아이스크림
신평1동,신평1동,1557885000,114881,103252,4926.195326125,2.0,1,0.0817,0.5929397260335968,778942500.0,-0.022963489384383,316245.072893902,제과점/아이스크림
신평2동,신평2동,4343000,803,663,921.5729121958332,0.0,1,0.0302,0.6417178462349387,8686000.0,-0.7516527737855706,4712.595110518089,제과점/아이스크림
양포동,양포동,7081985000,671733,599173,33998.02712208333,4.0,1,0.3068,0.5885621844250153,1770496250.0,-0.0131006020749984,208305.76358355556,제과점/아이스크림
원평동,원평동,3201066000,284439,253151,10161.635207208334,6.0,1,0.1385,0.6563061543804034,533511000.0,0.0195210029639219,315014.8509296287,제과점/아이스크림
인동동,인동동,8380946000,722171,648688,34740.13433791667,5.0,1,0.3179,0.6110021781254477,1676189200.0,-0.0477588215384765,241246.7930745082,제과점/아이스크림
임오동,임오동,1664920000,133333,123715,10517.991482666666,1.0,1,0.1496,0.6970975037617461,1664920000.0,0.0223575384114559,158292.57921949623,제과점/아이스크림
장천면,장천면,36142000,3922,3146,1784.1878721249998,0.0,1,0.091,0.6790291730933483,72284000.0,0.4067390291003529,20256.835372921927,제과점/아이스크림
지산동,지산동,704804000,55017,47163,2275.3861717916666,0.0,1,0.0665,0.684007663599243,1409608000.0,-0.4117092957746479,309751.37703549844,제과점/아이스크림
진미동,진미동,4526478000,348415,307770,24385.83575833333,1.0,1,0.2467,0.6390628612770203,4526478000.0,-0.0236741109437422,185619.1456736591,제과점/아이스크림
형곡1동,형곡1동,4326765000,377563,336125,10051.355530291668,3.0,1,0.1284,0.6033510455665473,1442255000.0,-0.0016954412904381,430465.8199543805,제과점/아이스크림
형곡2동,형곡2동,3625491000,235777,214120,10592.462073375,0.0,1,0.1401,0.5985500312988921,7250982000.0,0.0138070128760657,342270.8502410371,제과점/아이스크림
