dong_key,dong,total_amount,total_count,total_customer,avg_total_demand_pop,store_count,category_count,avg_location_score,external_ratio,sales_shortage,amount_growth_24_vs_23,consumption_activation,map_name
고아읍,고아읍,8208198000,336287,304426,13132.780349583334,14.0,1,0.1584,0.601506367572012,586299857.1428572,0.0630045700179377,625016.0119567083,중식
공단동,공단동,1624922000,66406,49884,10144.496113083334,6.0,1,0.1624,0.7943970331145315,270820333.3333333,-0.0712176245756475,160177.69457315298,중식
광평동,광평동,40900000,3186,2522,3317.9727282916665,1.0,1,0.1059,0.739913558272006,40900000.0,0.1562631800927878,12326.804150996832,중식
도개면,도개면,1299072000,47592,42242,1217.3300044166667,1.0,1,0.0768,0.7118003054154567,1299072000.0,-0.1319014434899151,1067148.5918253558,중식
도량동,도량동,2440490000,113244,103020,18770.048421666663,9.0,1,0.2077,0.6094034812390665,271165555.5555556,0.4664269457616293,130020.44241840586,중식
무을면,무을면,654136000,25548,22818,1010.4649167,1.0,1,0.0572,0.6352911750679409,654136000.0,-0.1038437010841208,647361.4166994463,중식
비산동,비산동,979056000,42079,36769,8236.058903916666,4.0,1,0.1146,0.6776119355482949,244764000.0,-0.237757706444146,118874.33193737952,중식
산동읍,산동읍,4571320000,193313,158825,10726.778608916668,11.0,1,0.1557,0.7076939943158168,415574545.45454544,0.0073411463833722,426159.62971400155,중식
상모사곡동,상모사곡동,5971150000,221647,193991,20446.85489458333,21.0,1,0.2237,0.6901567562024802,284340476.1904762,-0.0434916522004677,292032.6881950849,중식
선산읍,선산읍,3312411000,150984,141559,6828.726367583334,10.0,1,0.1053,0.5856725840957842,331241100.0,0.2034249960586735,485070.10263646755,중식
선주원남동,선주원남동,6834276000,292330,256453,29689.6325125,11.0,1,0.3004,0.6856867518085322,621297818.1818181,0.1404275483260146,230190.65652370796,중식
송정동,송정동,6157557000,207904,183596,14786.5652275,7.0,1,0.1772,0.661963706320667,879651000.0,-0.0371267307871311,416429.1642624481,중식
신평1동,신평1동,1621201000,71539,60345,4926.195326125,2.0,1,0.0942,0.6925297406422565,810600500.0,-0.2705381469209581,329097.99402437714,중식
양포동,양포동,5615400000,276849,228679,33998.02712208333,20.0,1,0.3232,0.6908406055289372,280770000.0,-0.0499002446567079,165168.40756187678,중식
원평동,원평동,5639771000,293413,248757,10161.635207208334,11.0,1,0.1491,0.6962165326206797,512706454.54545456,-0.0390716922246731,555006.245057816,중식
인동동,인동동,4361312000,170008,141801,34740.13433791667,16.0,1,0.3346,0.7051245160869692,272582000.0,0.071464940078578,125541.02288660128,중식
임오동,임오동,1688119000,81779,72535,10517.991482666666,8.0,1,0.1695,0.7369094224611148,211014875.0,0.3591611593174008,160498.22846709559,중식
장천면,장천면,1931338000,84450,65451,1784.1878721249998,2.0,1,0.0905,0.7333943536423998,965669000.0,-0.0255922697728243,1082474.570180629,중식
지산동,지산동,176010000,7816,7201,2275.3861717916666,0.0,1,0.0458,0.6380958571844919,352020000.0,-0.6106703923843804,77353.90246368932,중식
진미동,진미동,8044111000,287469,245697,24385.83575833333,14.0,1,0.2615,0.7133391829602399,574579357.1428572,-0.0545099725545547,329868.16936348384,중식
해평면,해평면,988414000,31739,28157,2184.893469041667,2.0,1,0.0735,0.6245290389541823,494207000.0,0.1389982947118755,452385.4430456676,중식
형곡1동,형곡1동,572477000,29970,24381,10051.355530291668,10.0,1,0.1253,0.6054532741522083,57247700.0,0.1223682503197582,56955.203531974556,중식
형곡2동,형곡2동,1713278000,80554,74317,10592.462073375,0.0,1,0.1264,0.5861655984377717,3426556000.0,-0.0274523032924572,161745.0209528209,중식
