dong_key,dong,total_amount,total_count,total_customer,avg_total_demand_pop,store_count,category_count,avg_location_score,external_ratio,sales_shortage,amount_growth_24_vs_23,consumption_activation,map_name
고아읍,고아읍,20593117000,1777232,1593567,5413.414761538328,25,2,0.17959999999999998,0.579878959478185,807386290.4411764,0.19563607321068416,3804090.0073483493,카페_합본
공단동,공단동,2510474000,351308,282787,4183.386809108378,4,2,0.16435,0.7244228814556726,660861333.3333333,0.020432629607117052,600105.6355902856,카페_합본
광평동,광평동,614646000,108332,81725,1370.2508900509572,4,2,0.0992,0.678853522816709,153661500.0,0.23440679608514484,448564.56906015397,카페_합본
도개면,도개면,551585000,81172,65328,502.7999143797608,2,1,0.0874,0.7179754083141144,275792500.0,0.0298188348464162,1097026.8375650363,카페_합본
도량동,도량동,6111914000,699209,637829,7734.0902584339965,17,2,0.20155,0.584916756250112,432951545.45454544,0.18761602695758411,790256.3579905188,카페_합본
무을면,무을면,21429000,1614,1295,417.40849067649975,2,1,0.0963,0.800970109515875,10714500.0,0.0,51338.198619941155,카페_합본
비산동,비산동,3862749000,512141,461700,3395.274620361681,7,2,0.11935,0.597745882732919,610270800.0,-0.0477745649815948,1137683.8199875923,카페_합본
산동읍,산동읍,15967897000,1693389,1427247,4423.059754055667,14,2,0.19565,0.6336154043036402,1474454106.060606,0.465942629824015,3610147.2482614424,카페_합본
상모사곡동,상모사곡동,13860682000,1552198,1365776,8423.954517899167,20,2,0.23345,0.6408679352851869,685683791.6666667,0.05963719051399795,1645388.9880992244,카페_합본
선산읍,선산읍,9620855000,967260,859786,2815.1967459023867,12,2,0.1255,0.6079967807099798,832046014.2857143,0.06505900506442394,3417471.62574107,카페_합본
선주원남동,선주원남동,30711654000,2684149,2297821,12231.54156545425,35,2,0.32675,0.6466960839833905,912628200.0,0.17467678682896784,2510857.183099426,카페_합본
송정동,송정동,10981081000,1274422,1092507,6094.048439620793,11,2,0.1918,0.6275364802221154,991506966.6666667,0.025768133309057806,1801935.2994646209,카페_합본
신평1동,신평1동,4873123000,517730,436308,2032.3730040119735,6,2,0.1105,0.6324963508018671,803876000.0,0.0199370932948972,2397750.309800558,카페_합본
신평2동,신평2동,140836000,10358,9161,381.1966445618944,3,2,0.04995,0.6485561121060031,36294750.0,-0.31359098656903983,369457.60674746084,카페_합본
양포동,양포동,19148498000,2312145,1995634,14004.621890122433,29,2,0.3264,0.6142313314604245,657089325.7575758,-0.0665384411567243,1367298.46405247,카페_합본
옥성면,옥성면,35871000,2509,1960,399.7989927283887,1,1,0.0368,0.7106341735153627,35871000.0,-1.0,89722.5872311531,카페_합본
원평동,원평동,14677222000,1671459,1434637,4190.184288387984,19,2,0.15795,0.6681275695979811,729969314.2857143,-0.12354177736736771,3502762.8834068556,카페_합본
인동동,인동동,19603076000,2491110,2126446,14310.106812645296,31,2,0.34295,0.6429316198290869,661505340.909091,0.03916013096391101,1369876.2879028625,카페_합본
임오동,임오동,3896726000,409488,352064,4335.986825694002,9,2,0.16925,0.7110757657836623,575644714.2857143,0.16745668134169148,898694.1512158088,카페_합본
장천면,장천면,306987000,21517,16041,736.947694064084,2,2,0.0996,0.7002012919304668,153493500.0,0.4163545383759082,416565.52082691615,카페_합본
지산동,지산동,1816622000,135168,115095,940.3091163448956,2,2,0.09745000000000001,0.6804502938179158,908311000.0,-0.07902502363300795,1931941.2823109138,카페_합본
진미동,진미동,11917950000,1260114,1056985,10047.808714359164,13,2,0.26639999999999997,0.6626185688540962,914614800.0,-0.05524599319686466,1186124.292251727,카페_합본
해평면,해평면,239131000,15668,13670,901.9419405893244,1,1,0.0823,0.6352321815674852,239131000.0,0.218839598044037,265129.0390640366,카페_합본
형곡1동,형곡1동,8488688000,935479,821861,4143.638162123025,10,2,0.1507,0.6284962924996353,848868800.0,-0.00108001119337185,2048607.4478208676,카페_합본
형곡2동,형곡2동,7054862000,622255,558928,4365.696126727957,15,2,0.14279999999999998,0.6063489059800045,492644861.1111111,0.0554407274698604,1615976.4205319404,카페_합본
