dong_key,dong,total_amount,total_count,total_customer,avg_total_demand_pop,store_count,category_count,avg_location_score,external_ratio,sales_shortage,amount_growth_24_vs_23,consumption_activation,map_name
고아읍,고아읍,14497102000,1265367,1112308,5413.414761538328,17,1,0.2009,0.6094277338635227,852770705.882353,0.3647920067754231,2677995.8009129832,커피전문점
공단동,공단동,1783127000,294536,235494,4183.386809108378,3,1,0.1718,0.7436128528676181,594375666.6666666,0.11594882213056,426240.04935848736,커피전문점
광평동,광평동,611456000,108126,81525,1370.2508900509572,2,1,0.1175,0.7016530933122133,305728000.0,0.4688135921702897,446236.5282442991,커피전문점
도개면,도개면,551585000,81172,65328,502.7999143797608,2,1,0.0874,0.7179754083141144,275792500.0,0.0298188348464162,1097026.8375650363,커피전문점
도량동,도량동,2016290000,364446,325607,7734.0902584339965,11,1,0.1805,0.5946478858864616,183299090.9090909,-0.2115829471996139,260701.63815340056,커피전문점
무을면,무을면,21429000,1614,1295,417.40849067649975,2,1,0.0963,0.800970109515875,10714500.0,0.0,51338.198619941155,커피전문점
비산동,비산동,2369443000,381502,342462,3395.274620361681,5,1,0.1221,0.6103440616654833,473888600.0,0.0109183740152034,697864.9048858368,커피전문점
산동읍,산동읍,9791612000,1207917,996671,4423.059754055667,11,1,0.187,0.6674856628051814,890146545.4545455,0.314146489953909,2213764.3496725787,커피전문점
상모사곡동,상모사곡동,8669224000,1193611,1033930,8423.954517899167,12,1,0.2459,0.6640016583156,722435333.3333334,0.1493103616693331,1029115.717752237,커피전문점
선산읍,선산읍,4551382000,574465,497048,2815.1967459023867,7,1,0.1268,0.6290204144242503,650197428.5714285,0.093943027078654,1616718.9759027283,커피전문점
선주원남동,선주원남동,20765150000,1915374,1609068,12231.54156545425,25,1,0.3463,0.6793287235537065,830606000.0,0.3048554122975274,1697672.3570680055,커피전문점
송정동,송정동,6396068000,899106,760174,6094.048439620793,6,1,0.2039,0.6422801170056941,1066011333.3333334,0.1685129570323015,1049559.7570927744,커피전문점
신평1동,신평1동,3315238000,402849,333056,2032.3730040119735,4,1,0.123,0.6720529755701373,828809500.0,0.0628376759741774,1631215.3297921235,커피전문점
신평2동,신평2동,136493000,9555,8498,381.1966445618944,2,1,0.0697,0.6553943779770675,68246500.0,0.1244708006474909,358064.53689242224,커피전문점
양포동,양포동,12066513000,1640412,1396461,14004.621890122433,18,1,0.3344,0.6399004784958338,670361833.3333334,-0.1199762802384502,861609.3383078485,커피전문점
옥성면,옥성면,35871000,2509,1960,399.7989927283887,1,1,0.0368,0.7106341735153627,35871000.0,-1.0,89722.5872311531,커피전문점
원평동,원평동,11476156000,1387020,1181486,4190.184288387984,14,1,0.1638,0.6799489848155589,819725428.5714285,-0.2666045576986573,2738818.9182521654,커피전문점
인동동,인동동,11222130000,1768939,1477758,14310.106812645296,20,1,0.3536,0.674861061532726,561106500.0,0.1260790834662985,784210.0794162789,커피전문점
임오동,임오동,2231806000,276155,228349,4335.986825694002,7,1,0.1728,0.7250540278055785,318829428.5714286,0.3125558242719271,514716.9697967857,커피전문점
장천면,장천면,270845000,17595,12895,736.947694064084,1,1,0.1075,0.7213734107675851,270845000.0,0.4259700476514635,367522.69147672737,커피전문점
지산동,지산동,1111818000,80151,67932,940.3091163448956,1,1,0.1148,0.6768929240365886,1111818000.0,0.253659248508632,1182396.278706498,커피전문점
진미동,진미동,7391472000,911699,749215,10047.808714359164,8,1,0.273,0.686174276431172,923934000.0,-0.0868178754499871,735630.2463677443,커피전문점
해평면,해평면,239131000,15668,13670,901.9419405893244,1,1,0.0823,0.6352321815674852,239131000.0,0.218839598044037,265129.0390640366,커피전문점
형곡1동,형곡1동,4161923000,557916,485736,4143.638162123025,5,1,0.1558,0.6536415394327234,832384600.0,-0.0004645810963056,1004412.7496565981,커피전문점
형곡2동,형곡2동,3429371000,386478,344808,4365.696126727957,9,1,0.1435,0.6141477806611167,381041222.2222222,0.0970744420636551,785526.7294039262,커피전문점
