dong_key,dong,total_amount,total_count,total_customer,avg_total_demand_pop,store_count,category_count,avg_location_score,external_ratio,sales_shortage,amount_growth_24_vs_23,consumption_activation,map_name
b'',b' ',107532000,9585,7158,175592.69175,16.0,1,0.105,1.0,6720750.0,-1.0,612.394507586333,한식
고아읍,고아읍,92545332000,2644622,2441340,1774640.8440999999,224.0,1,0.27590000000000003,0.5889988916829632,413148803.5714286,-0.5,52148.76706330621,한식
공단동,공단동,17230798000,749479,558771,1386746.4639375,102.0,1,0.1889,0.770055267033281,168929392.15686274,-0.5,12425.341219962602,한식
광평동,광평동,2007399000,56758,50842,455917.5252875,76.0,1,0.11875,0.6857817127079986,26413144.736842107,-0.5,4402.987138373637,한식
도개면,도개면,38628316000,3893174,2113027,168656.5499125,26.0,1,0.23870000000000002,0.9231058348372948,1485704461.5384612,-0.5,229035.37407850806,한식
도량동,도량동,43237346000,1010276,926730,2463280.2595,132.0,1,0.22904999999999998,0.633054080173554,327555651.5151515,-0.5,17552.751390447294,한식
무을면,무을면,2267211000,59333,52315,133288.67463125,20.0,1,0.10729999999999999,0.6689158586768785,113360550.0,-0.5,17009.779760151087,한식
비산동,비산동,19753578000,720070,629488,1078358.30965,114.0,1,0.15395,0.6382106070390212,173277000.0,-0.5,18318.195189140213,한식
산동읍,산동읍,95800090000,2748807,2248181,1466867.0500875001,242.0,1,0.2948,0.6881097632262749,395868140.4958677,-0.5,65309.32029203698,한식
상모사곡동,상모사곡동,96034302000,2616833,2342510,2685248.62276875,224.0,1,0.32655,0.6751946001975953,428724562.5,-0.5,35763.653758429034,한식
선산읍,선산읍,69966000000,2223234,2027454,920543.76355625,230.0,1,0.22525,0.6277973712142864,304200000.0,-0.5,76005.07740089069,한식
선주원남동,선주원남동,210900164000,5830030,5145020,3945623.3923562504,216.0,1,0.5421,0.670181002305591,976389648.1481481,-0.5,53451.67113733439,한식
송정동,송정동,79894104000,1902209,1678394,1936258.30046875,196.0,1,0.2776,0.6609800594726383,407622979.5918367,-0.5,41262.11052557315,한식
신평1동,신평1동,36510914000,1148756,1013649,666146.8990187501,104.0,1,0.17245,0.6480644489138917,351066480.7692308,-0.5,54809.1029978244,한식
신평2동,신평2동,2863685000,93841,83053,121454.76246874999,12.0,1,0.103,0.640863521240914,238640416.66666663,-0.5,23578.202631097476,한식
양포동,양포동,115421552000,3837134,3193318,4457425.89895625,240.0,1,0.40855,0.685673483753877,480923133.3333334,-0.5,25894.216665952223,한식
옥성면,옥성면,44460382000,5595731,3305511,147758.37396875,14.0,1,0.27795,0.968356411939563,3175741571.4285717,-0.5,300899.2370842082,한식
원평동,원평동,105203517000,3881349,3311554,1391740.07475,348.0,1,0.30895,0.7014349112634342,302308956.8965517,-0.5,75591.35423969009,한식
인동동,인동동,124569463000,3805109,3274044,4561865.521406249,570.0,1,0.4251,0.6985142542037832,218542917.54385966,-0.5,27306.69337258324,한식
임오동,임오동,28503955000,930675,819197,1407751.57073125,52.0,1,0.20024999999999998,0.7216912020859079,548152980.7692308,-0.5,20247.858778941907,한식
장천면,장천면,11550335000,287773,213715,245834.50213125002,48.0,1,0.1481,0.7647379006169671,240631979.16666666,-0.5,46984.19017617521,한식
지산동,지산동,7055112000,148007,134420,320847.20993749995,46.0,1,0.1111,0.6285029499848305,153372000.0,-0.5,21989.008417353274,한식
진미동,진미동,96808237000,2733299,2282742,3243813.39735,36.0,1,0.37929999999999997,0.711846984622796,2689117694.4444447,-0.5,29843.95991430533,한식
해평면,해평면,13895345000,394869,335999,297933.30275,28.0,1,0.13365,0.6662247654752175,496262321.4285714,-0.5,46639.11308921305,한식
형곡1동,형곡1동,26440910000,944046,863843,1320425.6237125,140.0,1,0.168,0.6246703848466908,188863642.85714287,-0.5,20024.53566877846,한식
형곡2동,형곡2동,46512348000,1234945,1132064,1402147.55318125,30.0,1,0.2177,0.6256343990548541,1550411600.0,-0.5,33172.220637172504,한식
