dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_time_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason
47190250,선산읍,양식,607320000,50610000.0,51728,45910,0.0,0.0,0.0,461938.61333333334,69290.792,0.6081793635042255,1.0,0,음식점,1.0,607320000.0,69290.792,0.006288895107604622,0.33443853695424525,0,0.07803439466194932,0.04882576470370412,0.1183,낮음,특징 약함
47190250,선산읍,일식,1450898000,120908166.66666667,21384,20458,0.0,0.0,0.0,461938.61333333334,69290.792,0.5883023635232787,1.0,0,음식점,1.0,1450898000.0,69290.792,0.01507906230102819,0.33443853695424525,0,0.031263222822623046,0.11740450658062342,0.1279,낮음,특징 약함
47190250,선산읍,제과점/아이스크림,4663298000,388608166.6666667,460439,407144,0.0,0.0,0.0,461938.61333333334,69290.792,0.6086172546363011,1.0,0,카페,1.0,4663298000.0,69290.792,0.04855259182900766,0.33443853695424525,0,0.07906476551292566,0.37855682492630754,0.1869,낮음,특징 약함
47190250,선산읍,중식,1503301000,125275083.33333333,69976,65684,0.0,0.0,0.0,461938.61333333334,69290.792,0.5867625904301027,9.0,0,음식점,9.0,167033444.44444445,7698.976888888889,0.01562510680602592,0.33443853695424525,0,0.027640090961500274,0.013032633487240052,0.1121,낮음,특징 약함
47190250,선산읍,패스트푸드,1057221000,88101750.0,65939,60264,0.0,0.0,0.0,461938.61333333334,69290.792,0.586283071327874,18.0,0,음식점,18.0,58734500.0,3849.4884444444447,0.01097690855803654,0.33443853695424525,0,0.02651176825927791,0.004228462021651359,0.1086,낮음,특징 약함
47190250,선산읍,한식,33575972000,2797997666.6666665,1101420,1002966,0.0,0.0,0.0,461938.61333333334,69290.792,0.6263781487899727,115.0,0,음식점,115.0,291964973.9130435,602.5286260869565,0.34982554876831917,0.33443853695424525,0,0.12085667743513354,0.023188952300338295,0.2733,낮음,특징 약함
47190253,고아읍,양식,1645022000,137085166.66666666,95204,81885,0.0,0.0,0.0,928399.6541666667,139259.948125,0.6332403128111184,0.0,0,음식점,0.5,3290044000.0,278519.89625,0.01710185381083067,0.7136613339260705,0,0.13700355336863942,0.26691802970233663,0.2755,낮음,수요인구 높음
47190253,고아읍,일식,3679420000,306618333.3333333,63780,59583,0.0,0.0,0.0,928399.6541666667,139259.948125,0.6020917075317902,10.0,0,음식점,10.0,367942000.0,13925.9948125,0.03830048459300673,0.7136613339260705,0,0.06370995919088229,0.02936551079355807,0.2421,낮음,수요인구 높음
47190253,고아읍,제과점/아이스크림,9138571000,761547583.3333334,828240,745995,0.0,0.0,0.0,928399.6541666667,139259.948125,0.5886830251226343,8.0,0,카페,8.0,1142321375.0,17407.493515625,0.0951853844174989,0.7136613339260705,0,0.03215893088184517,0.09231874484297033,0.274,낮음,수요인구 높음
47190253,고아읍,중식,3978759000,331563250.0,165191,151059,0.0,0.0,0.0,928399.6541666667,139259.948125,0.5956331221578152,13.0,0,음식점,13.0,306058384.61538464,10712.303701923076,0.041419626933741335,0.7136613339260705,0,0.04851271581136318,0.024334677265571224,0.2412,낮음,수요인구 높음
47190253,고아읍,패스트푸드,1050966000,87580500.0,86006,77401,0.0,0.0,0.0,928399.6541666667,139259.948125,0.575015993842733,29.0,0,음식점,29.0,36240206.89655172,4802.067176724137,0.010911730831975802,0.7136613339260705,0,0.0,0.002399786640779472,0.2194,낮음,수요인구 높음
47190253,고아읍,한식,45410276000,3784189666.6666665,1316007,1221200,0.0,0.0,0.0,928399.6541666667,139259.948125,0.5863902898980852,112.0,0,음식점,112.0,405448892.85714287,1243.3923939732142,0.4731401809396196,0.7136613339260705,0,0.02676405674227424,0.03241463668808741,0.4346,검토 가능,수요인구 높음
47190256,산동읍,양식,2719376000,226614666.66666666,151045,121275,0.0,0.0,0.0,1046164.5083333334,156924.67625,0.6627072733722693,4.0,0,음식점,4.0,679844000.0,39231.1690625,0.02829673002254243,0.8094016283401095,0,0.20634018753422398,0.05472160916133779,0.2844,낮음,수요인구 높음
47190256,산동읍,일식,655134000,54594500.0,23837,19852,0.0,0.0,0.0,1046164.5083333334,156924.67625,0.6867711512039593,9.0,0,음식점,9.0,72792666.66666667,17436.07513888889,0.006787121773290966,0.8094016283401095,0,0.26296320741978885,0.005371321820147817,0.273,낮음,수요인구 높음
47190256,산동읍,제과점/아이스크림,6590595000,549216250.0,734151,620187,0.0,0.0,0.0,1046164.5083333334,156924.67625,0.6405157661342632,9.0,0,카페,9.0,732288333.3333334,17436.07513888889,0.06863521947148252,0.8094016283401095,0,0.15412291131561245,0.058985075489968675,0.298,낮음,수요인구 높음
47190256,산동읍,중식,2277301000,189775083.33333334,99529,81956,0.0,0.0,0.0,1046164.5083333334,156924.67625,0.711107452414386,14.0,0,음식점,14.0,162664357.14285713,11208.905446428571,0.02369026427541208,0.8094016283401095,0,0.3202272476138591,0.012677448180969284,0.2874,낮음,수요인구 높음
47190256,산동읍,패스트푸드,1105937000,92161416.66666667,103730,88535,0.0,0.0,0.0,1046164.5083333334,156924.67625,0.6476632334896191,27.0,0,음식점,27.0,40960629.62962963,5812.025046296296,0.011484534154003745,0.8094016283401095,0,0.17094111447573543,0.00278353378942689,0.2655,낮음,수요인구 높음
47190256,산동읍,한식,45343865000,3778655416.6666665,1317931,1076813,0.0,0.0,0.0,1046164.5083333334,156924.67625,0.6890030866584297,121.0,0,음식점,121.0,374742685.9504132,1296.8981508264462,0.4724481716725661,0.8094016283401095,0,0.26821501789296814,0.02991837310905158,0.4867,검토 가능,수요인구 높음
