dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason,rank
47190670,인동동,양식,3519572000,293297666.6666667,179409,150543,42706.99244104353,2893.642086474408,22.22912199512004,36304.2779425,0.690296044943468,9.0,0,음식점,9.0,391063555.5555556,4033.8086602777776,0.036637924162628316,1.0,0,0.3055158694852086,0.008531974303201182,0.3483,낮음,수요인구 높음,1
47190690,양포동,양식,2394659000,199554916.66666666,131963,110786,40731.0162041068,3991.390483349422,22.437479266885223,34624.729395,0.6599526187036799,7.0,0,음식점,7.0,342094142.85714287,4946.389913571429,0.02491625548561815,0.9525638026583966,0,0.23747338037610985,0.007458395564953863,0.3218,낮음,수요인구 높음,2
47190565,선주원남동,양식,6332053000,527671083.3333333,243723,204941,35957.815165601154,2165.2975476968372,26.75088420022828,30568.155523333335,0.6817925134347775,12.0,0,음식점,12.0,527671083.3333333,2547.3462936111114,0.06594416423842639,0.8379922774746789,0,0.28644744110482184,0.011526883354081143,0.3114,낮음,수요인구 높음,3
47190680,진미동,양식,3449150000,287429166.6666667,96703,76730,29443.03247494437,9129.325876284563,27.704411437150924,25030.733265833333,0.786334482629615,8.0,0,음식점,8.0,431143750.0,3128.8416582291666,0.03590412221387992,0.6815965273419736,0,0.5208736968668066,0.009410670660974096,0.2741,낮음,수요인구 높음,4
47190645,상모사곡동,양식,1363028000,113585666.66666667,106421,93819,24534.15369363801,1594.9743460240372,19.475116479204427,20856.951905833335,0.6650660214404501,6.0,0,음식점,6.0,227171333.33333334,3476.1586509722224,0.014166591485884238,0.5637146616773157,0,0.24893974041329303,0.004938890468900145,0.2011,낮음,특징 약함,5
47190551,도량동,양식,1815107000,151258916.66666666,104159,94160,22153.229162813044,905.5644230013382,22.0096099347617,18833.546231666667,0.6309328490187328,0.0,0,음식점,0.5,3630214000.0,37667.092463333334,0.018877284894026982,0.5065667626155349,0,0.17239907574312177,0.07954534480361215,0.1896,낮음,특징 약함,6
47190253,고아읍,양식,1645022000,137085166.66666666,95204,81885,16707.4189539794,805.5256774961989,23.998507071676062,14204.9058875,0.6332403128111184,0.0,0,음식점,0.5,3290044000.0,28409.811775,0.01710498782133845,0.3758381229962636,0,0.17757336221697947,0.07208764295942752,0.149,낮음,특징 약함,7
47190510,송정동,양식,1819075000,151589583.33333334,95676,82305,15973.64199702973,1867.941650401577,24.322831367190673,13581.244121666668,0.6486075192721161,4.0,0,음식점,4.0,454768750.0,3395.311030416667,0.01891863171934625,0.3582237809502902,0,0.21203298355297193,0.009928612296241349,0.1387,낮음,특징 약함,8
47190660,임오동,양식,920161000,76680083.33333333,44442,40492,12521.340162109356,973.9957238174876,21.235175044040044,10646.324415333334,0.761346799045996,3.0,0,음식점,3.0,306720333.3333333,3548.7748051111116,0.009551887733699437,0.27533160699162756,0,0.46484099394578404,0.006682879427371035,0.1344,낮음,특징 약함,9
47190535,원평동,양식,4277172000,356431000.0,194699,165802,11101.505809188711,1927.9489770315604,24.743394344819183,9439.991446916667,0.7093425664032512,8.0,0,음식점,8.0,534646500.0,1179.9989308645834,0.044532166819351904,0.24126063664982178,0,0.34822603407743796,0.01167980859069506,0.129,낮음,특징 약함,10
47190670,인동동,일식,1164108000,97009000.0,20555,17668,42706.99244104353,2893.642086474408,22.22912199512004,36304.2779425,0.724927267786859,13.0,0,음식점,13.0,89546769.23076923,2792.636764807692,0.012093831785151058,1.0,0,0.3831733688241056,0.001921684467451462,0.344,낮음,수요인구 높음,1
47190690,양포동,일식,2496281000,208023416.66666666,51825,45027,40731.0162041068,3991.390483349422,22.437479266885223,34624.729395,0.6868897791267327,7.0,0,음식점,7.0,356611571.4285714,4946.389913571429,0.0259751635205463,0.9525638026583966,0,0.2978776152252465,0.007776667763648519,0.3284,낮음,수요인구 높음,2
47190565,선주원남동,일식,1703907000,141992250.0,38793,35361,35957.815165601154,2165.2975476968372,26.75088420022828,30568.155523333335,0.6383354286212404,11.0,0,음식점,11.0,154900636.36363637,2778.9232293939394,0.0177185734586684,0.8379922774746789,0,0.18899871541474167,0.0033544670627461107,0.2788,낮음,수요인구 높음,3
47190680,진미동,일식,1459559000,121629916.66666667,29272,23890,29443.03247494437,9129.325876284563,27.704411437150924,25030.733265833333,0.7150756927056805,10.0,0,음식점,10.0,145955900.0,2503.0733265833333,0.015172450960404017,0.6815965273419736,0,0.3610820702057054,0.003158367533467114,0.2479,낮음,수요인구 높음,4
47190645,상모사곡동,일식,5627569000,468964083.3333333,105320,95444,24534.15369363801,1594.9743460240372,19.475116479204427,20856.951905833335,0.7346410391366652,15.0,0,음식점,15.0,375171266.6666667,1390.463460388889,0.05860339385329009,0.5637146616773157,0,0.4049556545836086,0.008183560415571523,0.2372,낮음,특징 약함,5
47190551,도량동,일식,303848000,25320666.666666668,8310,7527,22153.229162813044,905.5644230013382,22.0096099347617,18833.546231666667,0.6078165633920559,5.0,0,음식점,5.0,60769600.0,3766.7092463333333,0.003129865064093727,0.5065667626155349,0,0.12056281966029629,0.0012907894795256575,0.1656,낮음,특징 약함,6
47190510,송정동,일식,3583438000,298619833.3333333,46257,41540,15973.64199702973,1867.941650401577,24.322831367190673,13581.244121666668,0.6712018437661819,18.0,0,음식점,18.0,199079888.8888889,754.5135623148149,0.037303412153011514,0.3582237809502902,0,0.26269878728145857,0.004323028937785868,0.1512,낮음,특징 약함,7
47190253,고아읍,일식,2990304000,249192000.0,49134,46336,16707.4189539794,805.5256774961989,23.998507071676062,14204.9058875,0.6158077892007623,10.0,0,음식점,10.0,299030400.0,1420.49058875,0.031122916213263508,0.3758381229962636,0,0.13848244715260188,0.006514289516439275,0.1416,낮음,특징 약함,8
47190535,원평동,일식,3199352000,266612666.66666666,95407,81752,11101.505809188711,1927.9489770315604,24.743394344819183,9439.991446916667,0.730245039963639,15.0,0,음식점,15.0,213290133.33333334,629.3327631277778,0.033301210351202724,0.24126063664982178,0,0.3950980095210339,0.004634566598954248,0.1276,낮음,특징 약함,9
47190256,산동읍,일식,627190000,52265833.333333336,23006,19235,13259.428515835449,2017.5931412948385,25.826092456710146,11274.388154166665,0.681247303122306,8.0,0,음식점,8.0,78398750.0,1409.2985192708331,0.006499110324271022,0.29307027581590767,0,0.28522485449066187,0.0016772813643667883,0.1196,낮음,특징 약함,10
47190670,인동동,중식,2105424000,175452000.0,81551,67573,42706.99244104353,2893.642086474408,22.22912199512004,36304.2779425,0.7153165560540661,16.0,0,음식점,16.0,131589000.0,2269.01737140625,0.021902407445996388,1.0,0,0.3616221852747748,0.002843395441203786,0.3464,낮음,수요인구 높음,1
