dong_code,year_month,home_pop,work_pop,time_home_pop,time_work_pop,living_pop,time_pop,inflow_pop,total_demand_pop
4719025000,202301,5966107.12,284283.63,0,0,6250390.75,0,433682.77,4276499.987
4719025300,202301,12159010.31,630659.9,0,0,12789670.21,0,879616.44,8725400.841
4719025600,202301,8006195.35,1253626.67,0,0,9259822.02,0,957367.51,5950798.83
4719031000,202301,162491.45,4746.54,0,0,167237.99000000002,0,46359.39,119329.262
4719032000,202301,784305.11,58328.45,0,0,842633.5599999999,0,326445.84,593323.851
4719033000,202301,933359.37,53276.590000000004,0,0,986635.96,0,137272.97,677734.174
4719034000,202301,1875153.97,88080.48,0,0,1963234.45,0,168076.48,1347031.523
4719036000,202301,1510983.78,151033.15,0,0,1662016.93,0,178881.64,1105783.44
4719051000,202301,10050454.39,1164818.99,0,0,11215273.38,0,1141214.26,7382403.297
4719053500,202301,7483701.4,1248179.65,0,0,8731881.05,0,1118985.55,5600125.465
4719055100,202301,16850392.29,745181.49,0,0,17595573.779999997,0,637097.02,12008020.6
4719055500,202301,1706790.31,129919.22,0,0,1836709.53,0,265033.99,1247240.46
4719056500,202301,23148005.35,1385047.1,0,0,24533052.450000003,0,1199524.98,16600565.66
4719058200,202301,8555511.48,717862.53,0,0,9273374.01,0,594610.15,6191891.557
4719058300,202301,9076890.42,604443.43,0,0,9681333.85,0,344240.56,6509136.036
4719059000,202301,3189785.45,570351.34,0,0,3760136.79,0,476924.84,2394612.567
4719060000,202301,647472.75,55382.73,0,0,702855.48,0,46440.09,468951.48
4719061000,202301,4338936,1704005.4,0,0,6042941.4,0,408170.22,3418873.302
4719063000,202301,2141438.25,371197.79,0,0,2512636.04,0,428804.62,1616126.795
4719064500,202301,14961236.73,902859.47,0,0,15864096.200000001,0,586231.31,10712060.74
4719066000,202301,6670187.54,678722.42,0,0,7348909.96,0,716005.75,4876476.337
4719067000,202301,28643177.6,1710828.6,0,0,30354006.200000003,0,1034378.28,20495827.87
4719068000,202301,15326816.14,5392783.21,0,0,20719599.35,0,1128680.91,11920196.03
4719069000,202301,26536164.03,2197631.47,0,0,28733795.5,0,927690.26,19107610.14
4719070000,202301,3616097.65,4422591.82,0,0,8038689.470000001,0,1093051.53,3525091.872
4719025000,202302,5641369.38,256312.91,0,0,5897682.29,0,400133.3,4040234.478
4719025300,202302,11263870.32,533848.26,0,0,11797718.58,0,802204.87,8071699.363
4719025600,202302,7909324.21,1329514.28,0,0,9238838.49,0,922403.86,5894670.189
4719031000,202302,846929.28,23045.23,0,0,869974.51,0,40051.9,601464.732
4719032000,202302,737030.14,42267.16,0,0,779297.3,0,261663,550540.83
4719033000,202302,944957.48,55358.79,0,0,1000316.27,0,121379.11,684679.905
4719034000,202302,1690172.21,79750.43000000001,0,0,1769922.64,0,161969.24,1215267.557
4719036000,202302,1377780.68,155592.61,0,0,1533373.29,0,170636.75,1012628.673
4719051000,202302,10158507.61,1233742.49,0,0,11392250.1,0,1033689.55,7461072.78
4719053500,202302,6372652.17,1422057.19,0,0,7794709.359999999,0,1036116.22,4848879.579
4719055100,202302,14206835.46,544789.21,0,0,14751624.670000002,0,566711.86,10110413.85
4719055500,202302,1844490.17,148455.59,0,0,1992945.76,0,260298.55,1346864.092
4719056500,202302,22965555.8,1511450.95,0,0,24477006.75,0,1104876.02,16488666.85
4719058200,202302,6303197.98,536653.3,0,0,6839851.28,0,544454.07,4574014.653
4719058300,202302,8716235.25,554123.35,0,0,9270358.6,0,310701.21,6243259.466
4719059000,202302,2852493.91,577854.7,0,0,3430348.6100000003,0,418416.2,2154158.297
4719060000,202302,683354.41,51882.61,0,0,735237.02,0,42122.01,492936.81
4719061000,202302,4824568.39,1886982.38,0,0,6711550.77,0,383261.17,3792920.466
4719063000,202302,2145414.06,363701.88,0,0,2509115.94,0,374280.9,1611958.308
4719064500,202302,16385384.4,1082721.13,0,0,17468105.53,0,527974.05,11739110.71
4719066000,202302,8458632.45,656299.12,0,0,9114931.569999998,0,641605.92,6116463.131
4719067000,202302,27608012.11,1618415.56,0,0,29226427.669999998,0,903698.73,19739661.46
4719068000,202302,13245125.84,6068244.98,0,0,19313370.82,0,1109040.05,10596141.09
4719069000,202302,25018318.75,2781499.14,0,0,27799817.89,0,866163.77,18155739.33
4719070000,202302,3342484.13,5030237.63,0,0,8372721.76,0,1047147.81,3450501.198
4719025000,202303,5987459.06,316706.04,0,0,6304165.1,0,455002.74,4300062.824
4719025300,202303,12273516.01,660746.68,0,0,12934262.69,0,936998.73,8817310.416
4719025600,202303,8660469.25,1649022.27,0,0,10309491.52,0,1080673.83,6500200.312
4719031000,202303,900216.33,22742.81,0,0,922959.14,0,48942.42,639594.235
4719032000,202303,779893.93,59271.78,0,0,839165.7100000001,0,272460.82,585026.189
4719033000,202303,1013174.68,72035.76,0,0,1085210.44,0,145263.81,738155.809
4719034000,202303,1800648.97,94208.83,0,0,1894857.8,0,199472.2,1299243.265
4719036000,202303,1434572.62,177989.85,0,0,1612562.4700000002,0,204057.25,1060204.529
4719051000,202303,10135237.32,1307524.55,0,0,11442761.870000001,0,1115640.1,7467735.044
4719053500,202303,6471705.56,1534670.12,0,0,8006375.68,0,1169524.31,4954080.347
4719055100,202303,15302537.42,729501.97,0,0,16032039.39,0,659493.62,10923625.95
4719055500,202303,1917711.41,208920.76,0,0,2126632.17,0,324641.88,1416646.327
4719056500,202303,23920039.18,1745180.27,0,0,25665219.45,0,1384552.31,17231518.71
4719058200,202303,6534398.01,603572.36,0,0,7137970.37,0,617979.05,4756590.984
4719058300,202303,9143948.93,639340.14,0,0,9783289.07,0,373574.36,6565989.715
4719059000,202303,3078488.5,650898.58,0,0,3729387.08,0,442362.54,2329357.92
4719060000,202303,680089.26,59206.69,0,0,739295.95,0,48360.36,492739.856
4719061000,202303,4608311.24,2179205.7199999997,0,0,6787516.96,0,472472.81,3708906.293
4719063000,202303,2229100.96,402139.65,0,0,2631240.61,0,448861.73,1685684.775
4719064500,202303,17272365.72,1196599.23,0,0,18468964.95,0,632678.88,12393243.74
4719066000,202303,8957202.2,701684.48,0,0,9658886.68,0,736556.33,6484034.069
4719067000,202303,30281704.7,2232135.49,0,0,32513840.189999998,0,985526.52,21742173.04
4719068000,202303,14295235.790000001,7119405.28,0,0,21414641.07,0,1191521.73,11549698.28
4719069000,202303,27195324.06,3526773.78,0,0,30722097.84,0,960051.76,19838086.77
4719070000,202303,3468793.66,5325872.6,0,0,8794666.26,0,1162910.64,3609621.146
4719025000,202304,5889325.6,320781.41,0,0,6210107.01,0,484748.52,4235159.054
4719025300,202304,11786856.79,602733.8099999999,0,0,12389590.6,0,948371.48,8466183.663
4719025600,202304,8602302.09,1563717.97,0,0,10166020.06,0,1077191.62,6442074.219
4719031000,202304,859897.27,31002.04,0,0,890899.31,0,54796.5,613608.147
4719032000,202304,764082.6900000001,53525.27,0,0,817607.9600000001,0,315076.72,577070.609
4719033000,202304,983262.4400000001,61829.95,0,0,1045092.39,0,157755.66,716425.264
4719034000,202304,1782517.44,94768.62,0,0,1877286.06,0,198445,1286560.432
4719036000,202304,1414498.88,170861.68,0,0,1585360.5599999998,0,210831.96,1045404.748
4719051000,202304,10353453.42,1384470,0,0,11737923.42,0,1216389.72,7645950.366
4719053500,202304,6032589.18,1280683.63,0,0,7313272.81,0,1134936.1,4592442.762
4719055100,202304,15035505.91,616660.52,0,0,15652166.43,0,676933.19,10715879.56
4719055500,202304,2057538.48,207730.74,0,0,2265269.2199999997,0,318951.01,1513718.185
4719056500,202304,23991470.62,1506897.97,0,0,25498368.59,0,1329020.97,17228311.13
4719058200,202304,6469054.31,576399.19,0,0,7045453.5,0,637477.59,4707365.614
4719058300,202304,9234963.84,579668.81,0,0,9814632.65,0,380102.68,6618418.718
4719059000,202304,3067813.5,596756.25,0,0,3664569.75,0,467024.48,2313523.148
4719060000,202304,650256.74,59665.05,0,0,709921.79,0,52041.77,472316.905
4719061000,202304,4852610.97,1945485.33,0,0,6798096.3,0,425411.1,3828465.855
4719063000,202304,2221723.11,369737.7,0,0,2591460.81,0,443830.09,1673536.726
4719064500,202304,16956161.87,1114111.1,0,0,18070272.970000003,0,624854.59,12154620.99
4719066000,202304,8846874.7,661224.56,0,0,9508099.26,0,793322.57,6404389.459
4719067000,202304,29324086.71,2077417.39,0,0,31401504.1,0,969692.45,21039313.42
4719068000,202304,14588688.46,6655242.9,0,0,21243931.36,0,1157782.1,11658908.71
4719069000,202304,27126669.75,2821890.08,0,0,29948559.83,0,955200.04,19648566.85
4719070000,202304,3525237.65,5036103.8,0,0,8561341.45,0,1117646.29,3586651.744
4719025000,202305,6087217.45,340926.62,0,0,6428144.07,0,489728.3,4378210.369
4719025300,202305,12262738.89,619125.23,0,0,12881864.120000001,0,976943.44,8805436.613
4719025600,202305,8856690.53,1629602.17,0,0,10486292.7,0,1135047.8,6639108.585
4719031000,202305,574131.63,21532.51,0,0,595664.14,0,56557.14,411854.357
4719032000,202305,787673.53,58626.61,0,0,846300.14,0,354760.84,598572.877
4719033000,202305,1060287.18,66811.97,0,0,1127099.15,0,165461.59,772109.579
4719034000,202305,1850523.68,93362.9,0,0,1943886.5799999998,0,202677.72,1334306.928
4719036000,202305,1470865.3599999999,183813.09,0,0,1654678.45,0,218693.67,1088237.737
4719051000,202305,10889584.66,1352602.43,0,0,12242187.09,0,1124645.9,8005694.338
4719053500,202305,6785949.9399999995,1502383.5,0,0,8288333.4399999995,0,1197910.74,5170432.732
4719055100,202305,15521104.68,665030.81,0,0,16186135.49,0,703392.85,11068118.72
4719055500,202305,2076501,224203.33,0,0,2300704.33,0,326964.68,1531087.834
4719056500,202305,25475210.47,1574540.28,0,0,27049750.75,0,1325859.9,18280141.38
4719058200,202305,6638372.44,566852.22,0,0,7205224.66,0,633943.34,4823625.486
4719058300,202305,9285806.55,574943.81,0,0,9860750.360000001,0,379323.6,6652985.707
4719059000,202305,3526207.48,669712.88,0,0,4195920.36,0,472718.9,2649559.702
4719060000,202305,639794.36,60625.7,0,0,700420.0599999999,0,59175.15,465898.707
4719061000,202305,4942023.88,2059011.13,0,0,7001035.01,0,460622.08,3917281.15
4719063000,202305,2270505.06,397974.91,0,0,2668479.97,0,469355.89,1715884.113
4719064500,202305,17830047.02,1222255.43,0,0,19052302.45,0,636507.86,12789134.79
4719066000,202305,8694698.84,671485.58,0,0,9366184.42,0,818904.29,6302476.733
4719067000,202305,30141521.25,2196493.32,0,0,32338014.57,0,1016908.66,21640054.41
4719068000,202305,14884241.5,6943144.75,0,0,21827386.25,0,1189029.99,11926501
4719069000,202305,27602530.6,3035178.95,0,0,30637709.55,0,989156.75,20027722.89
4719070000,202305,3783954.8,5175161.91,0,0,8959116.71,0,1146202.02,3798420.944
4719025000,202306,5845299.23,319465.7,0,0,6164764.930000001,0,455056.98,4201108.299
4719025300,202306,11646306.03,623959.61,0,0,12270265.639999999,0,945450.94,8371751.237
4719025600,202306,8560421.04,1545517.85,0,0,10105938.889999999,0,1075792.45,6408977.543
4719031000,202306,873886.64,31813.66,0,0,905700.3,0,50574.37,623140.817
4719032000,202306,794480.08,51888.2,0,0,846368.2799999999,0,298890.38,596402.734
4719033000,202306,1037777.59,64487.54,0,0,1102265.13,0,151537.29,754495.55
4719034000,202306,1801803.41,89298.88,0,0,1891102.29,0,190029.2,1298125.083
4719036000,202306,1455556.42,181157.72,0,0,1636714.14,0,203063.83,1075427.421
4719051000,202306,10319781.74,1406510.99,0,0,11726292.73,0,1053679.41,7610517.357
4719053500,202306,6619443.25,1479333.42,0,0,8098776.67,0,1159842.9,5045461.249
4719055100,202306,14959677.93,641348.16,0,0,15601026.09,0,652884.04,10665332.59
4719055500,202306,1763239.81,195812.41,0,0,1959052.22,0,294368.13,1302867.162
4719056500,202306,24751044.41,1550067.8,0,0,26301112.21,0,1284511.05,17764195.75
4719058200,202306,6401293.46,588725.14,0,0,6990018.6,0,614153.86,4660065.836
4719058300,202306,8776013.32,571702.21,0,0,9347715.530000001,0,380793.79,6295629.145
4719059000,202306,3310670.2,692200.98,0,0,4002871.18,0,445679.1,2500477.246
4719060000,202306,819068.97,82580.07,0,0,901649.04,0,51234.43,594987.736
4719061000,202306,4797356.27,2046756.64,0,0,6844112.909999999,0,447919.56,3812292.673
4719063000,202306,2185291.75,396619.51,0,0,2581911.26,0,458829.8,1654911.107
4719064500,202306,17071935.34,1242616.93,0,0,18314552.27,0,634326.55,12262310.78
4719066000,202306,8453150.46,724174.48,0,0,9177324.940000001,0,780540.58,6140094.276
4719067000,202306,29009417.44,2137992.31,0,0,31147409.75,0,971605.71,20831351.24
4719068000,202306,14747825.25,6923223.0600000005,0,0,21671048.310000002,0,1143111.76,11822433.46
4719069000,202306,26623261.150000002,3021963.77,0,0,29645224.92,0,942786.57,19334954.22
4719070000,202306,3754635.13,5384533.19,0,0,9139168.32,0,1103707.02,3815521.931
4719025000,202307,6058017.4399999995,338759.22000000003,0,0,6396776.659999999,0,443685.34,4352732.586
4719025300,202307,11914688.43,624134.87,0,0,12538823.299999999,0,921678.23,8557276.698
4719025600,202307,8541780.56,1539426.98,0,0,10081207.540000001,0,1040552.3,6391187.018
4719031000,202307,945945.57,29901.73,0,0,975847.2999999999,0,48469.77,672989.222
4719032000,202307,822858.11,58724.479999999996,0,0,881582.59,0,318728.91,619618.464
4719033000,202307,1079718.04,62564.25,0,0,1142282.29,0,145912.05,782906.683
4719034000,202307,1876291.1099999999,86717.16,0,0,1963008.2699999998,0,176305.97,1348377.806
4719036000,202307,1502366.48,158775.7,0,0,1661142.18,0,200103.18,1103421.994
4719051000,202307,10531764.21,1434748.03,0,0,11966512.24,0,1053719.1,7764556.463
4719053500,202307,6811588.39,1455907.59,0,0,8267495.9799999995,0,1169127.85,5176206.176
4719055100,202307,15665084.86,704086.6900000001,0,0,16369171.549999999,0,651745.09,11171551.25
4719055500,202307,1844168.81,192331.45,0,0,2036500.26,0,273748.24,1356759.281
4719056500,202307,24413579.77,1486549.33,0,0,25900129.1,0,1276075.5,17514423.26
4719058200,202307,6990875.85,695278.55,0,0,7686154.399999999,0,613195.77,5093988.382
4719058300,202307,9268575.98,655046.13,0,0,9923622.110000001,0,375432.31,6656555.643
4719059000,202307,3299093.9699999997,721397,0,0,4020490.9699999997,0,481840.24,2501829.203
4719060000,202307,864939.14,85738.87,0,0,950678.01,0,45277.62,627132.934
4719061000,202307,4848512.94,2085352.55,0,0,6933865.49,0,431242.6,3854153.828
4719063000,202307,2226075.42,378557.09,0,0,2604632.51,0,486915.34,1682655.746
4719064500,202307,17663769.98,1262378.05,0,0,18926148.03,0,613141.67,12678428.76
4719066000,202307,8857055.38,752667.79,0,0,9609723.170000002,0,770173.06,6427489.63
4719067000,202307,29822330.62,2315150.49,0,0,32137481.11,0,959998.97,21434661.43
4719068000,202307,15123745.62,6702195.09,0,0,21825940.71,0,1168675.53,12043928.51
4719069000,202307,26721534.97,2904540.85,0,0,29626075.82,0,907104.08,19376693.06
4719070000,202307,3934468.27,5264340.67,0,0,9198808.94,0,1092885.71,3916284.494
4719025000,202308,5914278.98,343254.48,0,0,6257533.460000001,0,455625.58,4254208.74
4719025300,202308,11592621.85,557787.04,0,0,12150408.89,0,906095.18,8317002.221
4719025600,202308,8466898.55,1499435.01,0,0,9966333.56,0,1036298.12,6330345.799
4719031000,202308,932286.97,30903.63,0,0,963190.6,0,47828.38,663564.443
4719032000,202308,791836.1,53508.92,0,0,845345.02,0,332622.55,598249.309
4719033000,202308,1059778.69,62098.8,0,0,1121877.49,0,143457.03,768610.546
4719034000,202308,1859036.88,91557.63,0,0,1950594.5099999998,0,174748.97,1337112.239
4719036000,202308,1493193.04,168610.49,0,0,1661803.53,0,197132.73,1098670.499
4719051000,202308,10351187.52,1427239.31,0,0,11778426.83,0,988217.07,7630100.833
4719053500,202308,6884238.99,1462425.47,0,0,8346664.46,0,1172574.25,5228709.812
4719055100,202308,15466884.209999999,664880.21,0,0,16131764.419999998,0,646416.15,11024436.6
4719055500,202308,1809556.7,179031.38999999998,0,0,1988588.0899999999,0,294921.41,1331988.109
4719056500,202308,25496261.41,1622816.08,0,0,27119077.490000002,0,1257278.35,18297674.04
4719058200,202308,7029091.14,645759.5,0,0,7674850.64,0,594847.74,5109000.472
4719058300,202308,9084508.7,630957.65,0,0,9715466.35,0,371715.25,6522519.145
