store_name,addr,legal_dong,dong,category,store_name_clean
까페티파니,"경상북도 구미시 산호대로 218, 2동 1층 (공단동)",공단동,공단동,커피전문점,까페티파니
감성카페경다방,경상북도 구미시 해평면 해평시장3길 2,해평면,해평면,커피전문점,감성카페경다방
카페올래구미역점,"경상북도 구미시 구미중앙로 76 (원평동,외18필지 3층)",원평동,원평동,커피전문점,카페올래구미역점
모링가식품카페,"경상북도 구미시 역전로4길 10, 1층 (원평동)",원평동,원평동,커피전문점,모링가식품카페
카페콩티,"경상북도 구미시 선산읍 선주로 111, 1층",선산읍,선산읍,커피전문점,카페콩티
낭랑카페,"경상북도 구미시 신시로16길 67, 지하 1층 (송정동)",송정동,송정동,커피전문점,낭랑카페
카페카리타스3호점,"경상북도 구미시 송정대로 55, 구미시청카페(열린나래) 1,2층 (송정동)",송정동,송정동,커피전문점,카페카리타스3호점
플라워카페화앤담,"경상북도 구미시 인동북길 117, 1층 (인의동, 새천년사우나)",인의동,인동동,커피전문점,플라워카페화앤담
디저트카페화양연화,"경상북도 구미시 사곡로1길 30, 1층 (사곡동)",사곡동,상모사곡동,제과점/아이스크림,디저트카페화양연화
카페웜앤코지,"경상북도 구미시 문장로12길 15-3, 1층 (도량동)",도량동,도량동,커피전문점,카페웜앤코지
홍락건강앤카페,"경상북도 구미시 고아읍 문장로25길 6-17, 1층",고아읍,고아읍,커피전문점,홍락건강앤카페
전망대카페360,"경상북도 구미시 도개면 궁기1길 16-10, 4층",도개면,도개면,커피전문점,전망대카페360
배달의카페원호문성점,"경상북도 구미시 고아읍 문장로27길 10, 1층",고아읍,고아읍,커피전문점,배달의카페원호문성점
다섬떡앤드카페,"경상북도 구미시 도봉로 76-55, 번개시장 B동 1층 A-109,110호 (도량동)",도량동,도량동,커피전문점,다섬떡앤드카페
하매과일카페2호점,"경상북도 구미시 신시로10길 98-19, 1층 (송정동)",송정동,송정동,커피전문점,하매과일카페2호점
점순이네호떡카페,"경상북도 구미시 금오산로20길 10, 1층 (원평동)",원평동,원평동,커피전문점,점순이네호떡카페
