store_name,addr,legal_dong,dong,category,lon,lat,store_x,store_y,cell_id,xcdn,ycdn,grid_dong,grid_distance
까페티파니,경상북도 구미시 공단동 257-16 1층 2동 ,공단동,공단동,커피전문점,128.386171125416,36.1034116999311,1079765.073960467,1789966.8923826446,라마80a90a,1080000,1790000,공단동,237.24746232069427
감성카페경다방,경상북도 구미시 해평면 낙성리 138-25 ,해평면,해평면,커피전문점,128.392294067933,36.1959892535481,1080221.8744073508,1800240.7761351212,라바80a00a,1080000,1800000,해평면,327.4162486517476
모링가식품카페,경상북도 구미시 원평동 185-13 1층 ,원평동,원평동,커피전문점,128.333733262869,36.131265767431,1075018.4861693764,1793014.7294889651,라마75a93a,1075000,1793000,원평동,23.63675746347298
카페콩티,경상북도 구미시 선산읍 완전리 47-1 1층 ,선산읍,선산읍,커피전문점,128.298924478841,36.2440358946218,1071783.373860695,1805497.0345988292,라바72a05b,1072000,1805500,선산읍,216.6464350833441
낭랑카페,경상북도 구미시 송정동 458-1 지하 1층 ,송정동,송정동,커피전문점,128.346182603793,36.1174693633704,1076152.0152144562,1791494.1073001595,라마76a91b,1076000,1791500,송정동,152.12938354436406
카페카리타스3호점,"경상북도 구미시 송정동 50 구미시청카페(열린나래) 1,2층 ",송정동,송정동,커피전문점,128.344441358603,36.1192755194717,1075993.568152347,1791693.0842058496,라마76a91b,1076000,1791500,송정동,193.19130211473265
플라워카페화앤담,경상북도 구미시 인의동 701-8 새천년사우나 1층 ,인의동,인동동,커피전문점,128.428733215588,36.0973870822988,1083602.6105964808,1789334.3930741088,라마83b89b,1083500,1789500,인동동,194.81937381402852
디저트카페화양연화,경상북도 구미시 사곡동 676-2 1층 ,사곡동,상모사곡동,제과점/아이스크림,128.357589645891,36.097190145156,1077198.4550264713,1789253.725275722,라마77a89b,1077000,1789500,상모사곡동,316.2841085952247
카페웜앤코지,경상북도 구미시 도량동 741-6 1층 ,도량동,도량동,커피전문점,128.333647173145,36.1407243526025,1075001.7372265053,1794063.8163587726,라마75a94a,1075000,1794000,도량동,63.840000022872445
홍락건강앤카페,경상북도 구미시 고아읍 원호리 427-12 1층 ,고아읍,고아읍,커피전문점,128.328851413198,36.1521972392109,1074559.4024695815,1795332.7070817929,라마74b95b,1074500,1795500,고아읍,177.5262624927128
전망대카페360,경상북도 구미시 도개면 궁기리 815-103 4층 ,도개면,도개면,커피전문점,128.329565946075,36.2989789390116,1074484.360118676,1811614.625682589,라바74b11b,1074500,1811500,도개면,115.68773918095496
배달의카페원호문성점,경상북도 구미시 고아읍 원호리 411-5 1층 ,고아읍,고아읍,커피전문점,128.328414311374,36.1526595965032,1074519.6446221839,1795383.656717497,라마74b95b,1074500,1795500,고아읍,117.99012909704584
다섬떡앤드카페,"경상북도 구미시 도량동 226 번개시장 1층 A-109,110호 B동 ",도량동,도량동,제과점/아이스크림,128.316527804145,36.1395043135989,1073462.643488281,1793915.4067335771,라마73b94a,1073500,1794000,도량동,92.47448130108778
하매과일카페2호점,경상북도 구미시 송정동 489-10 1층 ,송정동,송정동,커피전문점,128.349418102188,36.1147408930145,1076445.844509276,1791194.0038158933,라마76b91a,1076500,1791000,송정동,201.42069843170233
점순이네호떡카페,경상북도 구미시 원평동 410-10 1층 ,원평동,원평동,제과점/아이스크림,128.329425788677,36.1252888192988,1074636.5544836188,1792348.4458042677,라마74b92b,1074500,1792500,원평동,203.9995128437326
슈의라면카페,경상북도 구미시 봉곡동 17-1 1층 ,봉곡동,선주원남동,커피전문점,128.312906573902,36.1413151703209,1073135.1554530775,1794113.5357352572,라마73a94a,1073000,1794000,도량동,176.51447441210777
