dong,category,store_count
고아읍,일식,10
고아읍,제과점/아이스크림,5
고아읍,중식,14
고아읍,커피전문점,32
고아읍,패스트푸드,28
고아읍,한식,126
공단동,양식,1
공단동,일식,1
공단동,중식,6
공단동,커피전문점,15
공단동,패스트푸드,4
공단동,한식,46
광평동,제과점/아이스크림,1
광평동,중식,1
광평동,커피전문점,7
광평동,한식,14
도개면,양식,1
도개면,일식,1
도개면,중식,1
도개면,커피전문점,6
도개면,패스트푸드,1
도개면,한식,20
도량동,일식,5
도량동,제과점/아이스크림,1
도량동,중식,9
도량동,커피전문점,16
도량동,패스트푸드,23
도량동,한식,54
무을면,중식,1
무을면,커피전문점,1
무을면,한식,10
비산동,중식,4
비산동,커피전문점,9
비산동,패스트푸드,10
비산동,한식,46
산동읍,양식,4
산동읍,일식,8
산동읍,제과점/아이스크림,2
산동읍,중식,11
산동읍,커피전문점,50
산동읍,패스트푸드,21
산동읍,한식,109
상모사곡동,양식,6
상모사곡동,일식,15
상모사곡동,제과점/아이스크림,5
상모사곡동,중식,21
상모사곡동,커피전문점,33
상모사곡동,패스트푸드,46
상모사곡동,한식,146
선산읍,양식,3
선산읍,일식,3
선산읍,제과점/아이스크림,1
선산읍,중식,10
선산읍,커피전문점,19
선산읍,패스트푸드,21
선산읍,한식,122
선주원남동,양식,12
선주원남동,일식,11
선주원남동,제과점/아이스크림,6
선주원남동,중식,11
선주원남동,커피전문점,58
선주원남동,패스트푸드,36
선주원남동,한식,157
송정동,양식,4
송정동,일식,18
송정동,제과점/아이스크림,2
송정동,중식,7
송정동,커피전문점,29
송정동,패스트푸드,33
송정동,한식,92
신평1동,양식,2
신평1동,일식,5
신평1동,제과점/아이스크림,2
신평1동,중식,2
신평1동,커피전문점,17
신평1동,패스트푸드,15
신평1동,한식,65
양포동,양식,7
양포동,일식,7
양포동,제과점/아이스크림,4
양포동,중식,20
양포동,커피전문점,46
양포동,패스트푸드,63
양포동,한식,163
옥성면,양식,2
옥성면,커피전문점,4
옥성면,한식,9
원평동,양식,8
원평동,일식,15
원평동,제과점/아이스크림,6
원평동,중식,11
원평동,커피전문점,59
원평동,패스트푸드,16
원평동,한식,177
인동동,양식,9
인동동,일식,13
인동동,제과점/아이스크림,5
인동동,중식,16
인동동,커피전문점,56
인동동,패스트푸드,59
인동동,한식,198
임오동,양식,3
임오동,일식,4
임오동,제과점/아이스크림,1
임오동,중식,8
임오동,커피전문점,12
임오동,패스트푸드,16
임오동,한식,51
장천면,일식,1
장천면,중식,2
장천면,커피전문점,4
장천면,패스트푸드,2
장천면,한식,29
지산동,패스트푸드,1
지산동,한식,11
진미동,양식,8
진미동,일식,10
진미동,제과점/아이스크림,1
진미동,중식,14
진미동,커피전문점,34
진미동,패스트푸드,45
진미동,한식,127
해평면,중식,2
해평면,커피전문점,5
해평면,패스트푸드,1
해평면,한식,22
형곡1동,양식,6
형곡1동,일식,8
형곡1동,제과점/아이스크림,3
형곡1동,중식,10
형곡1동,커피전문점,26
형곡1동,패스트푸드,32
형곡1동,한식,115
