dong,category,store_count
b' ',일식,1
b' ',제과점/아이스크림,1
b' ',커피전문점,1
b' ',패스트푸드,3
b' ',한식,16
고아읍,일식,10
고아읍,제과점/아이스크림,8
고아읍,중식,13
고아읍,커피전문점,31
고아읍,패스트푸드,29
고아읍,한식,112
공단동,양식,1
공단동,일식,1
공단동,제과점/아이스크림,1
공단동,중식,5
공단동,커피전문점,16
공단동,패스트푸드,3
공단동,한식,51
광평동,양식,2
광평동,제과점/아이스크림,4
광평동,중식,1
광평동,커피전문점,10
광평동,패스트푸드,5
광평동,한식,38
도개면,중식,1
도개면,커피전문점,3
도개면,패스트푸드,2
도개면,한식,13
도량동,양식,1
도량동,일식,5
도량동,제과점/아이스크림,11
도량동,중식,12
도량동,커피전문점,25
도량동,패스트푸드,26
도량동,한식,66
무을면,중식,1
무을면,커피전문점,1
무을면,한식,10
비산동,제과점/아이스크림,3
비산동,중식,6
비산동,커피전문점,16
비산동,패스트푸드,12
비산동,한식,57
산동읍,양식,4
산동읍,일식,9
산동읍,제과점/아이스크림,9
산동읍,중식,14
산동읍,커피전문점,62
산동읍,패스트푸드,27
산동읍,한식,121
상모사곡동,양식,5
상모사곡동,일식,15
상모사곡동,제과점/아이스크림,11
상모사곡동,중식,21
상모사곡동,커피전문점,26
상모사곡동,패스트푸드,44
상모사곡동,한식,111
선산읍,양식,3
선산읍,일식,2
선산읍,제과점/아이스크림,1
선산읍,중식,9
선산읍,커피전문점,18
선산읍,패스트푸드,18
선산읍,한식,114
선주원남동,양식,8
선주원남동,일식,7
선주원남동,제과점/아이스크림,7
선주원남동,중식,8
선주원남동,커피전문점,34
선주원남동,패스트푸드,24
선주원남동,한식,107
송정동,양식,6
송정동,일식,16
송정동,제과점/아이스크림,9
송정동,중식,8
송정동,커피전문점,31
송정동,패스트푸드,32
송정동,한식,97
신평1동,양식,2
신평1동,일식,3
신평1동,제과점/아이스크림,2
신평1동,중식,2
신평1동,커피전문점,8
신평1동,패스트푸드,5
신평1동,한식,51
신평2동,일식,1
신평2동,제과점/아이스크림,3
신평2동,커피전문점,4
신평2동,패스트푸드,7
신평2동,한식,6
양포동,양식,7
양포동,일식,4
양포동,제과점/아이스크림,13
양포동,중식,14
양포동,커피전문점,28
양포동,패스트푸드,53
양포동,한식,120
옥성면,커피전문점,2
옥성면,한식,7
원평동,양식,8
원평동,일식,17
원평동,제과점/아이스크림,16
원평동,중식,13
원평동,커피전문점,67
원평동,패스트푸드,23
원평동,한식,174
인동동,양식,15
인동동,일식,22
인동동,제과점/아이스크림,22
인동동,중식,28
인동동,커피전문점,80
인동동,패스트푸드,100
인동동,한식,285
임오동,양식,2
임오동,일식,2
임오동,제과점/아이스크림,3
임오동,중식,5
임오동,커피전문점,10
임오동,패스트푸드,13
임오동,한식,26
장천면,중식,1
장천면,커피전문점,4
장천면,패스트푸드,2
장천면,한식,24
지산동,일식,1
지산동,커피전문점,5
지산동,패스트푸드,1
지산동,한식,23
진미동,양식,2
진미동,중식,2
진미동,커피전문점,5
진미동,패스트푸드,1
진미동,한식,18
해평면,중식,2
해평면,커피전문점,3
해평면,패스트푸드,1
해평면,한식,14
형곡1동,양식,3
형곡1동,일식,3
형곡1동,제과점/아이스크림,5
형곡1동,중식,5
형곡1동,커피전문점,13
형곡1동,패스트푸드,23
형곡1동,한식,69
형곡2동,양식,1
형곡2동,일식,2
형곡2동,중식,2
형곡2동,커피전문점,3
형곡2동,패스트푸드,2
형곡2동,한식,15
