file,folder,hit_keys,mc_bzc1_nm,mc_bzc2_nm,mc_bzc3_nm,store_name,addr,cell_id,xcdn,ycdn
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라바71b05a,1071500,1805000
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라바72a05a,1072000,1805000
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마75b96a,1075500,1796000
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마76a96a,1076000,1796000
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마83b95b,1083500,1795500
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마75b91a,1075500,1791000
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마76a91a,1076000,1791000
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마76a91b,1076000,1791500
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마74b92a,1074500,1792000
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마74b92b,1074500,1792500
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마75a92a,1075000,1792000
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마76a92a,1076000,1792000
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마74a93a,1074000,1793000
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마76a93b,1076000,1793500
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마72b94a,1072500,1794000
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마72b95a,1072500,1795000
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마75a90b,1075000,1790500
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마75a90b,1075000,1790500
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마75a91a,1075000,1791000
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마77b91b,1077500,1791500
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마78a91b,1078000,1791500
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마76b88a,1076500,1788000
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마77a88a,1077000,1788000
GUMI_202301_DD_R_2_엑셀용.csv,2023_01월_소비,일식,음식,일반음식점,일식,,,라마77a88b,1077000,1788500
